iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
165, 0.00825, 0.463973, -0.154739, -2.40262e-05, 360.971, -0.0186924, -120.387, 317.411, -0.0171829, -121.433 
166, 0.0083, 0.463522, -0.155175, -2.44652e-05, 360.62, -0.0190339, -120.726, 317.179, -0.0161083, -121.76 
167, 0.00835, 0.463071, -0.155591, -2.23381e-05, 360.269, -0.017379, -121.05, 316.948, -0.0143027, -122.079 
168, 0.0084, 0.46264, -0.155999, -1.87797e-05, 359.934, -0.0146106, -121.367, 316.723, -0.0133263, -122.384 
169, 0.00845, 0.462218, -0.156388, -1.63896e-05, 359.605, -0.0127511, -121.67, 316.5, -0.0145952, -122.68 
170, 0.0085, 0.461802, -0.156767, -1.75719e-05, 359.282, -0.013671, -121.965, 316.281, -0.0159684, -122.966 
171, 0.00855, 0.46139, -0.157133, -1.99385e-05, 358.962, -0.0155121, -122.25, 316.064, -0.0183236, -123.244 
172, 0.0086, 0.460985, -0.15749, -2.45718e-05, 358.646, -0.0191169, -122.527, 315.854, -0.02115, -123.508 
173, 0.00865, 0.460582, -0.157828, -2.95748e-05, 358.333, -0.0230092, -122.79, 315.643, -0.0203143, -123.757 
174, 0.0087, 0.460166, -0.158147, -2.89423e-05, 358.009, -0.0225171, -123.038, 315.436, -0.0182622, -123.994 
175, 0.00875, 0.459764, -0.158448, -2.56132e-05, 357.697, -0.0199271, -123.273, 315.231, -0.0158301, -124.216 
176, 0.0088, 0.45936, -0.158731, -2.11609e-05, 357.382, -0.0164632, -123.493, 315.031, -0.0137238, -124.429 
177, 0.00885, 0.458982, -0.159002, -1.72872e-05, 357.088, -0.0134494, -123.704, 314.834, -0.0133631, -124.631 
178, 0.0089, 0.458596, -0.159259, -1.6249e-05, 356.787, -0.0126418, -123.904, 314.642, -0.0148064, -124.823 
179, 0.00895, 0.458226, -0.159506, -1.8364e-05, 356.5, -0.0142872, -124.096, 314.451, -0.0181466, -125.005 
180, 0.009, 0.457841, -0.159739, -2.37958e-05, 356.2, -0.0185131, -124.277, 314.266, -0.0197587, -125.175 
181, 0.00905, 0.457482, -0.159957, -2.70874e-05, 355.921, -0.021074, -124.447, 314.08, -0.0201996, -125.33 
182, 0.0091, 0.457095, -0.160155, -2.8142e-05, 355.62, -0.0218944, -124.6, 313.898, -0.0184158, -125.472 
