iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
97, 0.00485, 0.610274, -0.18071, 2.83237e-05, 474.793, 0.0220358, -140.592, 423.215, 0.0174121, -140.591 
98, 0.0049, 0.607588, -0.179835, 3.20517e-05, 472.703, 0.0249362, -139.912, 421.381, 0.0307082, -139.939 
99, 0.00495, 0.604991, -0.178989, 4.47662e-05, 470.683, 0.0348281, -139.253, 419.56, 0.0426442, -139.295 
100, 0.005, 0.602326, -0.178169, 4.82931e-05, 468.609, 0.037572, -138.615, 417.736, 0.0269826, -138.699 
101, 0.00505, 0.599755, -0.1774, 3.09246e-05, 466.609, 0.0240593, -138.017, 415.919, 0.0180765, -138.103 
102, 0.0051, 0.597134, -0.176628, 2.24419e-05, 464.57, 0.0174598, -137.416, 414.108, -0.00130331, -137.505 
103, 0.00515, 0.594559, -0.175847, -2.6081e-06, 462.567, -0.0020291, -136.809, 412.291, -0.00846966, -136.886 
104, 0.0052, 0.591926, -0.175048, -2.04139e-05, 460.518, -0.015882, -136.187, 410.475, -0.0353068, -136.273 
105, 0.00525, 0.589258, -0.174257, -3.93766e-05, 458.442, -0.030635, -135.572, 408.661, -0.0174991, -135.692 
106, 0.0053, 0.586667, -0.1735, -9.1663e-06, 456.426, -0.00713138, -134.983, 406.864, 0.0115945, -135.102 
107, 0.00535, 0.584117, -0.172747, 3.22941e-05, 454.443, 0.0251248, -134.397, 405.086, 0.0439184, -134.565 
108, 0.0054, 0.581596, -0.172058, 6.28849e-05, 452.482, 0.0489244, -133.861, 403.331, 0.0438857, -134.039 
109, 0.00545, 0.579126, -0.171374, 5.82635e-05, 450.56, 0.045329, -133.329, 401.591, 0.0388689, -133.517 
110, 0.0055, 0.57673, -0.170698, 4.90099e-05, 448.696, 0.0381297, -132.803, 399.872, 0.0362037, -132.995 
111, 0.00555, 0.57427, -0.170024, 4.60887e-05, 446.782, 0.035857, -132.279, 398.166, 0.0367193, -132.483 
112, 0.0056, 0.571656, -0.169359, 6.26222e-05, 444.748, 0.04872, -131.762, 396.452, 0.069062, -131.984 
113, 0.00565, 0.569212, -0.168706, 0.000103901, 442.847, 0.080835, -131.253, 394.758, 0.0991622, -131.465 
114, 0.0057, 0.566834, -0.168039, 0.000129459, 440.997, 0.100719, -130.734, 393.11, 0.091468, -130.99 
115, 0.00575, 0.56446, -0.16743, 0.00011062, 439.15, 0.086062, -130.26, 391.45, 0.0568693, -130.551 
116, 0.0058, 0.562158, -0.166862, 6.90512e-05, 437.359, 0.0537218, -129.819, 389.895, 0.0423518, -130.117 
117, 0.00585, 0.559968, -0.166307, 4.87492e-05, 435.655, 0.0379269, -129.387, 388.288, 0.0296034, -129.708 
118, 0.0059, 0.557647, -0.165781, 4.16929e-05, 433.849, 0.0324371, -128.977, 386.733, 0.0468294, -129.313 
119, 0.00595, 0.555366, -0.165268, 6.66626e-05, 432.075, 0.0518635, -128.578, 385.19, 0.0591129, -128.929 
120, 0.006, 0.553215, -0.164764, 8.73267e-05, 430.401, 0.0679401, -128.186, 383.676, 0.087139, -128.512 
121, 0.00605, 0.551087, -0.164223, 0.000113134, 428.745, 0.0880181, -127.766, 382.201, 0.0827599, -128.121 
122, 0.0061, 0.548969, -0.163715, 9.90888e-05, 427.098, 0.0770911, -127.37, 380.746, 0.0537688, -127.735 
123, 0.00615, 0.546917, -0.163216, 5.82208e-05, 425.501, 0.0452957, -126.982, 379.313, 0.018364, -127.358 
124, 0.0062, 0.54488, -0.162728, 1.64759e-05, 423.916, 0.0128182, -126.602, 377.95, -0.00342814, -126.984 
125, 0.00625, 0.542892, -0.162249, -7.67103e-06, 422.37, -0.00596806, -126.23, 376.528, -0.00930875, -126.642 
126, 0.0063, 0.540827, -0.161807, -1.06689e-05, 420.764, -0.0083004, -125.886, 375.165, -0.00256142, -126.301 
127, 0.00635, 0.538801, -0.161357, 6.80523e-06, 419.187, 0.00529447, -125.536, 373.812, 0.026979, -125.937 
128, 0.0064, 0.536844, -0.160886, 3.78097e-05, 417.664, 0.029416, -125.17, 372.486, 0.0363344, -125.587 
129, 0.00645, 0.534934, -0.160433, 3.9762e-05, 416.179, 0.0309348, -124.817, 371.194, 0.0170304, -125.246 
130, 0.0065, 0.533114, -0.159992, 1.30607e-05, 414.763, 0.0101613, -124.474, 369.941, -0.00940259, -124.929 
131, 0.00655, 0.531344, -0.159583, -1.96484e-05, 413.386, -0.0152864, -124.155, 368.729, -0.0304619, -124.628 
132, 0.0066, 0.529593, -0.159191, -4.70013e-05, 412.023, -0.036567, -123.851, 367.537, -0.0531504, -124.329 
133, 0.00665, 0.527889, -0.158806, -6.95747e-05, 410.697, -0.0541291, -123.551, 366.366, -0.0552982, -124.043 
134, 0.0067, 0.526143, -0.158433, -6.72673e-05, 409.339, -0.052334, -123.261, 365.208, -0.0525054, -123.761 
135, 0.00675, 0.524455, -0.158069, -7.02561e-05, 408.026, -0.0546592, -122.977, 364.081, -0.0604956, -123.485 
136, 0.0068, 0.522877, -0.15771, -8.55928e-05, 406.798, -0.0665912, -122.698, 362.994, -0.0785672, -123.214 
137, 0.00685, 0.521344, -0.157364, -0.00010455, 405.606, -0.0813403, -122.429, 361.942, -0.0791298, -122.968 
138, 0.0069, 0.519792, -0.157041, -0.000101668, 404.398, -0.0790978, -122.178, 360.91, -0.0739618, -122.726 
139, 0.00695, 0.518262, -0.156719, -8.54973e-05, 403.208, -0.0665169, -121.927, 359.899, -0.0487859, -122.465 
140, 0.007, 0.516762, -0.156384, -5.35538e-05, 402.041, -0.0416648, -121.666, 358.907, -0.0330251, -122.229 
141, 0.00705, 0.515332, -0.156079, -3.38395e-05, 400.928, -0.0263271, -121.43, 357.934, -0.0258449, -121.994 
142, 0.0071, 0.513883, -0.155779, -2.60227e-05, 399.801, -0.0202456, -121.196, 356.988, -0.0206521, -121.775 
143, 0.00715, 0.512536, -0.155492, -2.49874e-05, 398.753, -0.0194402, -120.973, 356.072, -0.0227028, -121.545 
144, 0.0072, 0.511221, -0.155199, -3.32364e-05, 397.73, -0.0258579, -120.745, 355.186, -0.0287665, -121.33 
145, 0.00725, 0.509932, -0.154921, -4.46875e-05, 396.727, -0.0347669, -120.528, 354.331, -0.0418735, -121.118 
146, 0.0073, 0.508634, -0.154637, -5.37873e-05, 395.717, -0.0418465, -120.307, 353.496, -0.0275548, -120.881 
147, 0.00735, 0.507375, -0.15433, -3.77464e-05, 394.738, -0.0293667, -120.069, 352.691, -0.0252668, -120.663 
148, 0.0074, 0.506189, -0.15405, -3.22472e-05, 393.815, -0.0250883, -119.851, 351.918, -0.0194365, -120.449 
149, 0.00745, 0.505044, -0.153773, -1.81772e-05, 392.924, -0.0141419, -119.635, 351.175, -0.00779494, -120.235 
150, 0.0075, 0.504, -0.153497, -4.29241e-06, 392.112, -0.00333949, -119.42, 350.473, 0.00581811, -120.02 
151, 0.00755, 0.502924, -0.153222, 4.0318e-06, 391.275, 0.00313674, -119.207, 349.789, -0.00696721, -119.823 
152, 0.0076, 0.50195, -0.152962, -1.27101e-05, 390.517, -0.00988847, -119.004, 349.136, -0.020821, -119.597 
153, 0.00765, 0.500961, -0.15267, -2.67758e-05, 389.748, -0.0208316, -118.777, 348.507, -0.0180574, -119.375 
154, 0.0077, 0.500019, -0.15238, -2.55841e-05, 389.015, -0.0199045, -118.552, 347.905, -0.0261433, -119.147 
155, 0.00775, 0.499089, -0.152082, -3.55848e-05, 388.291, -0.0276849, -118.32, 347.326, -0.0242337, -118.913 
156, 0.0078, 0.498142, -0.151779, -3.56712e-05, 387.554, -0.0277522, -118.084, 346.771, -0.0317797, -118.682 
157, 0.00785, 0.497288, -0.151483, -4.73316e-05, 386.89, -0.036824, -117.854, 346.262, -0.0438146, -118.456 
158, 0.0079, 0.496483, -0.151191, -5.84129e-05, 386.264, -0.0454452, -117.627, 345.786, -0.0432607, -118.229 
159, 0.00795, 0.495756, -0.150898, -5.16682e-05, 385.698, -0.0401978, -117.398, 345.34, -0.0347683, -118.003 
160, 0.008, 0.495011, -0.150604, -3.9675e-05, 385.119, -0.0308672, -117.17, 344.916, -0.0297435, -117.761 
161, 0.00805, 0.494316, -0.150292, -3.54828e-05, 384.578, -0.0276056, -116.927, 344.518, -0.0367654, -117.529 
162, 0.0081, 0.493669, -0.149993, -5.36958e-05, 384.075, -0.0417753, -116.695, 344.153, -0.0592056, -117.302 
163, 0.00815, 0.493018, -0.149697, -7.96886e-05, 383.568, -0.0619977, -116.464, 343.813, -0.0675769, -117.071 
164, 0.0082, 0.492514, -0.149405, -8.79548e-05, 383.176, -0.0684288, -116.237, 343.515, -0.0607843, -116.859 
165, 0.00825, 0.492004, -0.149131, -8.50088e-05, 382.779, -0.0661368, -116.024, 343.25, -0.0644899, -116.644 
166, 0.0083, 0.491531, -0.148855, -9.03109e-05, 382.411, -0.0702619, -115.809, 343.005, -0.0673113, -116.435 
167, 0.00835, 0.491071, -0.148584, -9.02067e-05, 382.053, -0.0701808, -115.598, 342.771, -0.0696624, -116.212 
168, 0.0084, 0.490588, -0.148296, -8.4248e-05, 381.677, -0.0655449, -115.374, 342.55, -0.0555125, -115.983 
169, 0.00845, 0.490182, -0.148003, -6.95065e-05, 381.362, -0.054076, -115.147, 342.357, -0.0552741, -115.764 
170, 0.0085, 0.4898, -0.147719, -7.46744e-05, 381.065, -0.0580966, -114.925, 342.187, -0.069264, -115.54 
171, 0.00855, 0.48952, -0.147428, -9.20554e-05, 380.847, -0.0716191, -114.699, 342.045, -0.0705954, -115.308 
172, 0.0086, 0.489226, -0.147127, -9.51637e-05, 380.618, -0.0740373, -114.465, 341.919, -0.0698771, -115.076 
173, 0.00865, 0.488929, -0.146826, -0.00010017, 380.387, -0.0779321, -114.231, 341.805, -0.0748742, -114.833 
174, 0.0087, 0.488627, -0.146515, -0.000103288, 380.152, -0.0803584, -113.988, 341.701, -0.0731777, -114.597 
175, 0.00875, 0.488368, -0.146213, -8.87202e-05, 379.95, -0.0690243, -113.754, 341.609, -0.0487528, -114.357 
176, 0.0088, 0.488139, -0.145905, -4.79247e-05, 379.772, -0.0372854, -113.514, 341.53, -0.0146505, -114.108 
177, 0.00885, 0.487907, -0.145583, -9.02215e-06, 379.592, -0.00701923, -113.264, 341.463, -0.0101217, -113.858 
178, 0.0089, 0.487692, -0.145261, -1.14755e-05, 379.425, -0.00892792, -113.013, 341.404, -0.0160626, -113.602 
179, 0.00895, 0.487502, -0.144935, -2.5236e-05, 379.276, -0.0196336, -112.76, 341.351, -0.0262815, -113.365 
180, 0.009, 0.487294, -0.144632, -4.16178e-05, 379.114, -0.0323786, -112.523, 341.305, -0.0359759, -113.128 
181, 0.00905, 0.487069, -0.144323, -5.2862e-05, 378.939, -0.0411266, -112.283, 341.262, -0.0349186, -112.877 
182, 0.0091, 0.486913, -0.144, -4.69566e-05, 378.818, -0.0365323, -112.032, 341.233, -0.0218068, -112.63 
183, 0.00915, 0.486828, -0.143686, -2.68641e-05, 378.752, -0.0209003, -111.788, 341.227, -0.0140818, -112.388 
184, 0.0092, 0.486723, -0.143375, -1.7218e-05, 378.67, -0.0133956, -111.545, 341.233, -0.019129, -112.143 
185, 0.00925, 0.486644, -0.143057, -2.33312e-05, 378.609, -0.0181517, -111.299, 341.255, -0.0255451, -111.893 
186, 0.0093, 0.486547, -0.142738, -3.29122e-05, 378.534, -0.0256057, -111.05, 341.276, -0.0350187, -111.661 
187, 0.00935, 0.48647, -0.14244, -4.69806e-05, 378.473, -0.0365509, -110.818, 341.303, -0.0426541, -111.426 
188, 0.0094, 0.486403, -0.142134, -5.51255e-05, 378.421, -0.0428876, -110.58, 341.337, -0.0362739, -111.19 
189, 0.00945, 0.486328, -0.141827, -4.37778e-05, 378.363, -0.0340591, -110.341, 341.376, -0.0159486, -110.947 
190, 0.0095, 0.486281, -0.14151, -2.21562e-05, 378.327, -0.0172375, -110.095, 341.424, -0.0188502, -110.693 
191, 0.00955, 0.486229, -0.141182, -2.58434e-05, 378.286, -0.0201062, -109.84, 341.466, -0.0241343, -110.438 
192, 0.0096, 0.486191, -0.140858, -3.16377e-05, 378.257, -0.0246141, -109.588, 341.511, -0.0365686, -110.19 
193, 0.00965, 0.486098, -0.140544, -4.82904e-05, 378.184, -0.0375699, -109.343, 341.557, -0.050147, -109.965 
194, 0.0097, 0.486015, -0.140253, -6.86409e-05, 378.12, -0.0534026, -109.117, 341.602, -0.0648285, -109.741 
195, 0.00975, 0.485993, -0.139958, -8.53137e-05, 378.103, -0.066374, -108.887, 341.655, -0.0633472, -109.502 
196, 0.0098, 0.485952, -0.139647, -7.73527e-05, 378.071, -0.0601804, -108.645, 341.709, -0.0354641, -109.261 
197, 0.00985, 0.485878, -0.139334, -3.86485e-05, 378.013, -0.0300685, -108.402, 341.757, -0.00606685, -109.024 
198, 0.0099, 0.485867, -0.139035, 1.44584e-06, 378.004, 0.00112486, -108.169, 341.802, 0.0260641, -108.792 
199, 0.00995, 0.485881, -0.138735, 3.64376e-05, 378.015, 0.0283485, -107.935, 341.85, 0.0303569, -108.557 
