iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
121, 0.00605, 0.0301838, 85.9803, -1.83883, -0.16096, 0.450779, 1.07491 
122, 0.0061, 0.0237256, 85.8447, -1.83883, -0.16096, 0.450779, 1.07303 
123, 0.00615, 0.0276999, 85.6954, -1.83883, -0.16096, 0.450779, 1.07119 
124, 0.0062, 0.0245854, 85.5295, -1.83883, -0.16096, 0.450779, 1.06929 
125, 0.00625, 0.0218186, 85.3407, -1.83883, -0.16096, 0.450779, 1.06727 
126, 0.0063, 0.021237, 85.3065, -2.45217, 0.161608, 0.00378844, 1.06538 
127, 0.00635, 0.0283443, 85.3052, -2.45217, 0.161608, 0.00378844, 1.06353 
128, 0.0064, 0.0311824, 85.3035, -2.45217, 0.161608, 0.00378844, 1.06179 
129, 0.00645, 0.0111766, 85.3024, -2.45217, 0.161608, 0.00378844, 1.06002 
130, 0.0065, 0.0319134, 85.3028, -2.45217, 0.161608, 0.00378844, 1.05816 
131, 0.00655, 0.00810284, 85.301, -2.45217, 0.161608, 0.00378844, 1.0564 
132, 0.0066, 0.0147706, 85.3019, -2.45217, 0.161608, 0.00378844, 1.05466 
133, 0.00665, 0.0281659, 85.3006, -2.45217, 0.161608, 0.00378844, 1.05301 
134, 0.0067, 0.0334194, 85.2997, -2.45217, 0.161608, 0.00378844, 1.05136 
135, 0.00675, 0.024139, 85.2992, -2.45217, 0.161608, 0.00378844, 1.04975 
136, 0.0068, 0.0195216, 85.2998, -2.45217, 0.161608, 0.00378844, 1.04806 
137, 0.00685, 0.0359519, 85.299, -2.45217, 0.161608, 0.00378844, 1.04643 
138, 0.0069, 0.0249148, 85.2992, -2.45217, 0.161608, 0.00378844, 1.04479 
139, 0.00695, 0.0338421, 85.2989, -2.45217, 0.161608, 0.00378844, 1.04322 
140, 0.007, 0.0314903, 85.2972, -2.45217, 0.161608, 0.00378844, 1.04168 
141, 0.00705, 0.0358243, 85.2974, -2.45217, 0.161608, 0.00378844, 1.04019 
142, 0.0071, 0.0280739, 85.2981, -2.45217, 0.161608, 0.00378844, 1.03866 
143, 0.00715, 0.0299399, 85.2975, -2.45217, 0.161608, 0.00378844, 1.03719 
144, 0.0072, 0.0288535, 85.296, -2.45217, 0.161608, 0.00378844, 1.0357 
145, 0.00725, 0.0137704, 85.2962, -2.45217, 0.161608, 0.00378844, 1.03418 
146, 0.0073, 0.032013, 85.2961, -2.45217, 0.161608, 0.00378844, 1.03266 
147, 0.00735, 0.015635, 85.2959, -2.45217, 0.161608, 0.00378844, 1.03112 
148, 0.0074, 0.0178371, 85.2963, -2.45217, 0.161608, 0.00378844, 1.02967 
149, 0.00745, 0.0282047, 85.2959, -2.45217, 0.161608, 0.00378844, 1.02827 
150, 0.0075, 0.0170766, 85.2951, -2.45217, 0.161608, 0.00378844, 1.02692 
151, 0.00755, 0.0187811, 85.2947, -2.45217, 0.161608, 0.00378844, 1.0256 
152, 0.0076, 0.0198662, 85.2938, -2.45217, 0.161608, 0.00378844, 1.02433 
153, 0.00765, 0.0316956, 85.292, -2.45217, 0.161608, 0.00378844, 1.02303 
154, 0.0077, 0.0278129, 85.2953, -2.45217, 0.161608, 0.00378844, 1.02172 
155, 0.00775, 0.0258272, 85.2925, -2.45217, 0.161608, 0.00378844, 1.02036 
156, 0.0078, 0.0287566, 85.2918, -2.45217, 0.161608, 0.00378844, 1.01897 
157, 0.00785, 0.0354312, 85.2925, -2.45217, 0.161608, 0.00378844, 1.0176 
158, 0.0079, 0.00734205, 85.2933, -2.45217, 0.161608, 0.00378844, 1.01628 
159, 0.00795, 0.028592, 85.2914, -2.45217, 0.161608, 0.00378844, 1.01503 
160, 0.008, 0.0312974, 85.2934, -2.45217, 0.161608, 0.00378844, 1.01382 
161, 0.00805, 0.00619564, 85.2916, -2.45217, 0.161608, 0.00378844, 1.01257 
162, 0.0081, 0.0182666, 85.2913, -2.45217, 0.161608, 0.00378844, 1.01137 
163, 0.00815, 0.0183312, 85.2895, -2.45217, 0.161608, 0.00378844, 1.01016 
164, 0.0082, 0.0237461, 85.2905, -2.45217, 0.161608, 0.00378844, 1.00899 
165, 0.00825, 0.0260789, 85.2896, -2.45217, 0.161608, 0.00378844, 1.00782 
166, 0.0083, 0.0167861, 85.2901, -2.45217, 0.161608, 0.00378844, 1.00671 
167, 0.00835, 0.0260004, 85.2871, -2.45217, 0.161608, 0.00378844, 1.0056 
168, 0.0084, 0.021794, 85.2876, -2.45217, 0.161608, 0.00378844, 1.00444 
169, 0.00845, 0.0246032, 85.286, -2.45217, 0.161608, 0.00378844, 1.0033 
170, 0.0085, 0.023354, 85.2865, -2.45217, 0.161608, 0.00378844, 1.00221 
171, 0.00855, 0.0295232, 85.2859, -2.45217, 0.161608, 0.00378844, 1.00113 
172, 0.0086, 0.02925, 85.285, -2.45217, 0.161608, 0.00378844, 1.00001 
173, 0.00865, 0.0198107, 85.2839, -2.45217, 0.161608, 0.00378844, 0.998899 
174, 0.0087, 0.0171888, 85.285, -2.45217, 0.161608, 0.00378844, 0.997804 
175, 0.00875, 0.0271978, 85.2853, -2.45217, 0.161608, 0.00378844, 0.996758 
176, 0.0088, 0.0173062, 85.2863, -2.45217, 0.161608, 0.00378844, 0.995694 
177, 0.00885, 0.0266545, 85.2837, -2.45217, 0.161608, 0.00378844, 0.994561 
178, 0.0089, 0.0289687, 85.2827, -2.45217, 0.161608, 0.00378844, 0.993508 
179, 0.00895, 0.024876, 85.2805, -2.45217, 0.161608, 0.00378844, 0.992478 
180, 0.009, 0.0225733, 85.2803, -2.45217, 0.161608, 0.00378844, 0.991417 
181, 0.00905, 0.0293555, 85.2803, -2.45217, 0.161608, 0.00378844, 0.990385 
182, 0.0091, 0.0202514, 85.2791, -2.45217, 0.161608, 0.00378844, 0.989393 
183, 0.00915, 0.0245555, 85.2751, -2.45217, 0.161608, 0.00378844, 0.98839 
184, 0.0092, 0.0259089, 85.2751, -2.45217, 0.161608, 0.00378844, 0.987388 
185, 0.00925, 0.019837, 85.2728, -2.45217, 0.161608, 0.00378844, 0.986383 
186, 0.0093, 0.0370252, 85.272, -2.45217, 0.161608, 0.00378844, 0.985407 
187, 0.00935, 0.0347475, 85.2707, -2.45217, 0.161608, 0.00378844, 0.984442 
188, 0.0094, 0.0177474, 85.2727, -2.45217, 0.161608, 0.00378844, 0.983451 
