iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
128, 0.0064, 0.587575, -0.225789, 2.323e-07, 457.133, 0.000180729, -175.664, 403.552, 0.00910505, -176.059 
129, 0.00645, 0.585913, -0.22537, 1.15972e-05, 455.841, 0.00902263, -175.338, 402.431, 0.0156264, -175.73 
130, 0.0065, 0.584273, -0.224942, 2.23117e-05, 454.565, 0.0173585, -175.005, 401.317, 0.0164259, -175.403 
131, 0.00655, 0.582659, -0.224514, 2.3378e-05, 453.308, 0.0181881, -174.672, 400.214, 0.0119152, -175.081 
132, 0.0066, 0.581032, -0.224094, 1.59369e-05, 452.043, 0.0123989, -174.345, 399.126, 0.00636213, -174.768 
133, 0.00665, 0.579401, -0.223685, 6.89331e-06, 450.774, 0.005363, -174.027, 398.063, 0.00298626, -174.468 
134, 0.0067, 0.57781, -0.223298, 1.71562e-06, 449.536, 0.00133476, -173.726, 397.026, 0.00402406, -174.186 
135, 0.00675, 0.576293, -0.222936, 3.53474e-06, 448.356, 0.00275002, -173.444, 396.011, 0.00679175, -173.905 
136, 0.0068, 0.574806, -0.222575, 8.1699e-06, 447.199, 0.00635618, -173.164, 395.012, 0.0113935, -173.617 
137, 0.00685, 0.573346, -0.222204, 1.53597e-05, 446.063, 0.0119498, -172.875, 394.021, 0.0136352, -173.325 
138, 0.0069, 0.571878, -0.221823, 1.87815e-05, 444.921, 0.014612, -172.578, 393.037, 0.0130067, -173.036 
139, 0.00695, 0.57044, -0.221445, 1.75106e-05, 443.802, 0.0136232, -172.284, 392.066, 0.00960965, -172.749 
140, 0.007, 0.568992, -0.22107, 1.21577e-05, 442.676, 0.0094587, -171.992, 391.115, 0.00650677, -172.473 
141, 0.00705, 0.567563, -0.220711, 7.12565e-06, 441.564, 0.00554376, -171.713, 390.188, 0.0044866, -172.215 
142, 0.0071, 0.566201, -0.220378, 4.3967e-06, 440.505, 0.00342063, -171.454, 389.287, 0.00456794, -171.967 
143, 0.00715, 0.564874, -0.220059, 5.09324e-06, 439.472, 0.00396254, -171.206, 388.405, 0.00624485, -171.72 
144, 0.0072, 0.563582, -0.219743, 8.04685e-06, 438.467, 0.00626045, -170.96, 387.537, 0.00856562, -171.465 
145, 0.00725, 0.562285, -0.219415, 1.1514e-05, 437.458, 0.00895791, -170.705, 386.672, 0.00932135, -171.2 
146, 0.0073, 0.560961, -0.219068, 1.2341e-05, 436.427, 0.00960129, -170.435, 385.814, 0.00862085, -170.935 
147, 0.00735, 0.559664, -0.21872, 1.0674e-05, 435.419, 0.00830438, -170.164, 384.971, 0.00725114, -170.676 
148, 0.0074, 0.558411, -0.218381, 8.27714e-06, 434.443, 0.00643961, -169.901, 384.149, 0.00610749, -170.427 
149, 0.00745, 0.557182, -0.218057, 6.46619e-06, 433.488, 0.0050307, -169.648, 383.351, 0.00469565, -170.187 
150, 0.0075, 0.555974, -0.217747, 4.68401e-06, 432.548, 0.00364416, -169.407, 382.579, 0.00445573, -169.957 
151, 0.00755, 0.554837, -0.217453, 4.82303e-06, 431.663, 0.00375232, -169.179, 381.823, 0.00614809, -169.726 
152, 0.0076, 0.55371, -0.217157, 8.12762e-06, 430.787, 0.00632329, -168.948, 381.073, 0.00815975, -169.486 
153, 0.00765, 0.552599, -0.216848, 1.13562e-05, 429.922, 0.00883511, -168.708, 380.326, 0.00805503, -169.235 
154, 0.0077, 0.551457, -0.21652, 1.08006e-05, 429.033, 0.0084029, -168.453, 379.581, 0.00711476, -168.975 
155, 0.00775, 0.550296, -0.216181, 8.67078e-06, 428.13, 0.00674586, -168.189, 378.852, 0.00621675, -168.72 
156, 0.0078, 0.549179, -0.215847, 6.87721e-06, 427.261, 0.00535046, -167.929, 378.148, 0.00561998, -168.473 
157, 0.00785, 0.548129, -0.215526, 5.82973e-06, 426.444, 0.00453553, -167.679, 377.47, 0.0048165, -168.238 
158, 0.0079, 0.547116, -0.215222, 4.83549e-06, 425.656, 0.00376201, -167.442, 376.816, 0.00440844, -168.009 
159, 0.00795, 0.546123, -0.214929, 4.59516e-06, 424.883, 0.00357503, -167.215, 376.173, 0.00602283, -167.775 
160, 0.008, 0.545105, -0.214629, 7.52471e-06, 424.091, 0.00585422, -166.981, 375.533, 0.00782286, -167.534 
161, 0.00805, 0.544132, -0.214318, 1.07217e-05, 423.335, 0.00834145, -166.74, 374.896, 0.008411, -167.283 
162, 0.0081, 0.543164, -0.213993, 1.15896e-05, 422.581, 0.00901673, -166.486, 374.265, 0.00819837, -167.03 
163, 0.00815, 0.542193, -0.213661, 1.06892e-05, 421.826, 0.00831623, -166.228, 373.65, 0.00710817, -166.775 
164, 0.0082, 0.54121, -0.213328, 8.487e-06, 421.061, 0.00660288, -165.969, 373.059, 0.00616568, -166.526 
165, 0.00825, 0.540265, -0.213004, 6.6686e-06, 420.326, 0.00518817, -165.717, 372.493, 0.00400648, -166.282 
166, 0.0083, 0.539321, -0.212688, 3.72703e-06, 419.591, 0.00289963, -165.471, 371.954, 0.00353475, -166.054 
167, 0.00835, 0.538499, -0.212397, 3.3621e-06, 418.952, 0.00261571, -165.245, 371.425, 0.00382224, -165.824 
168, 0.0084, 0.537687, -0.212102, 4.19851e-06, 418.321, 0.00326644, -165.016, 370.893, 0.00604781, -165.575 
169, 0.00845, 0.536827, -0.211781, 7.79064e-06, 417.651, 0.00606112, -164.766, 370.364, 0.00681785, -165.323 
170, 0.0085, 0.53599, -0.211454, 9.36719e-06, 417, 0.00728767, -164.511, 369.842, 0.00722388, -165.062 
171, 0.00855, 0.535152, -0.211113, 9.76254e-06, 416.348, 0.00759525, -164.246, 369.34, 0.00674733, -164.805 
172, 0.0086, 0.534352, -0.210777, 8.55686e-06, 415.726, 0.00665724, -163.985, 368.863, 0.00550211, -164.554 
173, 0.00865, 0.53361, -0.210451, 6.21246e-06, 415.148, 0.00483329, -163.731, 368.41, 0.00328504, -164.314 
174, 0.0087, 0.532908, -0.210142, 2.57844e-06, 414.602, 0.00200603, -163.49, 367.976, 0.00120802, -164.081 
175, 0.00875, 0.532254, -0.209844, -5.13205e-07, 414.093, -0.000399274, -163.259, 367.547, 0.00194781, -163.84 
176, 0.0088, 0.531576, -0.209537, 1.08444e-06, 413.566, 0.000843696, -163.02, 367.119, 0.0041773, -163.588 
177, 0.00885, 0.530875, -0.209212, 4.91557e-06, 413.021, 0.00382431, -162.767, 366.692, 0.00582006, -163.325 
178, 0.0089, 0.530172, -0.208872, 7.90221e-06, 412.474, 0.00614791, -162.502, 366.277, 0.00691241, -163.058 
179, 0.00895, 0.52949, -0.208524, 9.7604e-06, 411.943, 0.00759359, -162.232, 365.878, 0.00691619, -162.795 
180, 0.009, 0.528841, -0.20818, 9.6807e-06, 411.438, 0.00753158, -161.964, 365.503, 0.0053648, -162.536 
181, 0.00905, 0.528236, -0.207844, 6.74516e-06, 410.967, 0.00524773, -161.703, 365.146, 0.00219197, -162.286 
182, 0.0091, 0.527657, -0.207522, 1.17209e-06, 410.517, 0.000911888, -161.452, 364.804, 0.000246347, -162.037 
183, 0.00915, 0.527084, -0.207204, -2.15794e-06, 410.071, -0.00167888, -161.205, 364.464, 0.00117839, -161.789 
184, 0.0092, 0.526529, -0.206886, -4.32463e-07, 409.64, -0.000336456, -160.957, 364.128, 0.00411546, -161.53 
185, 0.00925, 0.525963, -0.206554, 4.78843e-06, 409.199, 0.0037254, -160.699, 363.796, 0.00635077, -161.266 
186, 0.0093, 0.525408, -0.206211, 8.92409e-06, 408.768, 0.00694294, -160.432, 363.475, 0.0076225, -160.998 
187, 0.00935, 0.52488, -0.205863, 1.11863e-05, 408.357, 0.00870294, -160.161, 363.168, 0.00727517, -160.732 
188, 0.0094, 0.524372, -0.205517, 1.0617e-05, 407.961, 0.00826004, -159.893, 362.877, 0.00479358, -160.472 
189, 0.00945, 0.523874, -0.20518, 6.07761e-06, 407.574, 0.00472838, -159.63, 362.6, 0.00094539, -160.215 
190, 0.0095, 0.523369, -0.204848, -7.27034e-07, 407.181, -0.000565632, -159.372, 362.333, -0.000580737, -159.967 
191, 0.00955, 0.522914, -0.204531, -3.44764e-06, 406.827, -0.00268226, -159.125, 362.067, 0.00125699, -159.717 
192, 0.0096, 0.522467, -0.204211, -1.68815e-07, 406.479, -0.000131338, -158.876, 361.802, 0.00537085, -159.461 
193, 0.00965, 0.522008, -0.203882, 6.93903e-06, 406.122, 0.00539857, -158.62, 361.54, 0.00877001, -159.195 
194, 0.0097, 0.521522, -0.203537, 1.27986e-05, 405.744, 0.00995732, -158.352, 361.291, 0.00898115, -158.928 
195, 0.00975, 0.521072, -0.20319, 1.31471e-05, 405.394, 0.0102285, -158.082, 361.051, 0.007103, -158.661 
196, 0.0098, 0.520611, -0.202842, 9.54617e-06, 405.035, 0.00742692, -157.811, 360.826, 0.0023693, -158.404 
197, 0.00985, 0.520228, -0.202508, 1.6214e-06, 404.738, 0.00126145, -157.551, 360.609, -0.000186137, -158.155 
198, 0.0099, 0.519857, -0.202188, -2.81248e-06, 404.449, -0.00218811, -157.302, 360.394, 0.000793845, -157.906 
199, 0.00995, 0.519459, -0.201868, -1.42654e-06, 404.139, -0.00110984, -157.054, 360.177, 0.00437643, -157.652 
200, 0.01, 0.519034, -0.201542, 4.67145e-06, 403.808, 0.00363439, -156.8, 359.965, 0.00885132, -157.399 
201, 0.01005, 0.518651, -0.201217, 1.20501e-05, 403.511, 0.00937495, -156.547, 359.758, 0.0103225, -157.14 
202, 0.0101, 0.518285, -0.200883, 1.47348e-05, 403.226, 0.0114637, -156.287, 359.561, 0.0098949, -156.878 
203, 0.01015, 0.517908, -0.200543, 1.36327e-05, 402.933, 0.0106063, -156.022, 359.375, 0.00553857, -156.619 
204, 0.0102, 0.517554, -0.200206, 6.39409e-06, 402.657, 0.0049746, -155.76, 359.195, 0.00148059, -156.362 
205, 0.01025, 0.517206, -0.199873, -1.85325e-07, 402.386, -0.000144182, -155.501, 359.017, 0.00126077, -156.115 
206, 0.0103, 0.516872, -0.199553, -3.56882e-07, 402.126, -0.000277654, -155.252, 358.84, 0.00397894, -155.872 
207, 0.01035, 0.516545, -0.199241, 4.49985e-06, 401.872, 0.00350088, -155.009, 358.66, 0.0071733, -155.624 
208, 0.0104, 0.516184, -0.198922, 9.91157e-06, 401.591, 0.0077112, -154.761, 358.488, 0.00896143, -155.38 
209, 0.01045, 0.515868, -0.198608, 1.25057e-05, 401.345, 0.00972947, -154.517, 358.32, 0.00871162, -155.135 
210, 0.0105, 0.515565, -0.198292, 1.15432e-05, 401.109, 0.00898059, -154.271, 358.162, 0.00604555, -154.888 
211, 0.01055, 0.515275, -0.197972, 6.66155e-06, 400.884, 0.00518269, -154.022, 358.009, 0.00256422, -154.644 
212, 0.0106, 0.514984, -0.197655, 7.71267e-07, 400.657, 0.000600046, -153.776, 357.862, 0.00108817, -154.405 
213, 0.01065, 0.514701, -0.197346, -1.37373e-06, 400.437, -0.00106876, -153.535, 357.714, 0.00278429, -154.171 
214, 0.0107, 0.514408, -0.197043, 2.43228e-06, 400.209, 0.00189231, -153.3, 357.563, 0.00708413, -153.942 
215, 0.01075, 0.514111, -0.196749, 1.04991e-05, 399.978, 0.00816827, -153.071, 357.411, 0.00891103, -153.712 
